Register_Address,Register_Name,Value,Expected
0x85,GPIO_OUTPUT22,00,0x00
0x86,GPIO_OUTPUT23,00,0x00
0x87,GPIO_OUTPUT24,00,0x3f
0x88,GPIO_OUTPUT25,C0,0xc0
0x89,INTERNAL_5,30,0x30
0x8A,INJ_ADDR_Byte[0],00,0x00
0x8B,INJ_ADDR_Byte[1],00,0x00
0x8C,INJ_DATA,00,0x00
0x8D,INJ_CTRL,00,0x00
0x8E,INJ_EN,00,0x00
0x8F,INJ_RESET,00,0x00
0x90,TIMER1_START_Byte[0],00,0x00
0x91,TIMER1_START_Byte[1],00,0x00
0x92,TIMER1_START_Byte[2],00,0x00
0x93,TIMER1_START_Byte[3],00,0x00
0x94,TIMER1_PULSE_Byte[0],00,0x00
0x95,TIMER1_PULSE_Byte[1],00,0x00
0x96,TIMER1_PULSE_Byte[2],00,0x00
0x97,TIMER1_PULSE_Byte[3],00,0x00
0x98,TIMER1_END_Byte[0],00,0x00
0x99,TIMER1_END_Byte[1],00,0x00
0x9A,TIMER1_END_Byte[2],00,0x00
0x9B,TIMER1_END_Byte[3],00,0x00
0x9C,TIMER1_CTRL,00,0x00
0x9D,TIMER2_START_Byte[0],00,0x00
0x9E,TIMER2_START_Byte[1],00,0x00
0x9F,TIMER2_START_Byte[2],00,0x00
0xA0,TIMER2_START_Byte[3],00,0x00
0xA1,TIMER2_PULSE_Byte[0],00,0x00
0xA2,TIMER2_PULSE_Byte[1],00,0x00
0xA3,TIMER2_PULSE_Byte[2],00,0x00
0xA4,TIMER2_PULSE_Byte[3],00,0x00
0xA5,TIMER2_END_Byte[0],00,0x00
0xA6,TIMER2_END_Byte[1],00,0x00
0xA7,TIMER2_END_Byte[2],00,0x00
0xA8,TIMER2_END_Byte[3],00,0x00
0xA9,TIMER2_CTRL,00,0x00
0xAA,TIMER_START,00,0x00
0xAB,GPU_EROT_SPI_ERROR_INT,00,0x00
0xAC,FPGA_EROT_SPI_ERROR_INT,00,0x00
0xAD,DEV_EROT_SPI_ERROR_INT,00,0x00
0xAE,MCTP_BACKEND_ERROR_INT,00,0x00
0xAF,HSIO_FIFO_DATA_Byte[0],00,0x00
0xB0,HSIO_FIFO_DATA_Byte[1],00,0x00
0xB1,HSIO_FIFO_DATA_Byte[2],00,0x00
0xB2,HSIO_FIFO_DATA_Byte[3],00,0x00
0xB3,HSIO_FIFO_DATA_Byte[4],00,0x00
0xB4,HSIO_FIFO_DATA_Byte[5],00,0x00
0xB5,HSIO_FIFO_DATA_Byte[6],00,0x00
0xB6,HSIO_FIFO_DATA_Byte[7],00,0x00
0xB7,HSIO_FIFO_CTRL,00,0x00
0xB8,LSIO_FIFO_DATA_Byte[0],00,0x00
0xB9,LSIO_FIFO_DATA_Byte[1],00,0x00
0xBA,LSIO_FIFO_DATA_Byte[2],00,0x00
0xBB,LSIO_FIFO_DATA_Byte[3],00,0x00
0xBC,LSIO_FIFO_DATA_Byte[4],00,0x00
0xBD,LSIO_FIFO_DATA_Byte[5],00,0x00
0xBE,LSIO_FIFO_DATA_Byte[6],00,0x00
0xBF,LSIO_FIFO_DATA_Byte[7],00,0x00
0xC0,LSIO_FIFO_CTRL,00,0x00
0xC1,MCTP_BACKEND_ERROR_INT_MASK,0F,0x0f
0xC2,GPU1_EROT_SPI_ERROR,00,0x00
0xC3,GPU2_EROT_SPI_ERROR,00,0x00
0xC4,GPU3_EROT_SPI_ERROR,00,0x00
0xC5,GPU4_EROT_SPI_ERROR,00,0x00
0xC6,GPU5_EROT_SPI_ERROR,00,0x00
0xC7,GPU6_EROT_SPI_ERROR,00,0x00
